time,omega,detuning
0.00E+00,8.50E-01,8.43E+00
2.50E-02,8.50E-01,7.94E+00
5.00E-02,8.50E-01,6.64E+00
7.50E-02,8.50E-01,4.96E+00
1.00E-01,8.50E-01,3.45E+00
1.25E-01,8.50E-01,2.62E+00
1.50E-01,8.50E-01,2.74E+00
1.75E-01,8.50E-01,3.78E+00
2.00E-01,8.50E-01,5.38E+00
2.25E-01,8.50E-01,7.02E+00
2.50E-01,8.50E-01,8.15E+00
2.75E-01,8.50E-01,8.40E+00
3.00E-01,8.50E-01,7.68E+00
3.25E-01,8.50E-01,6.24E+00
3.50E-01,8.50E-01,4.55E+00
3.75E-01,8.50E-01,3.17E+00
4.00E-01,8.50E-01,2.56E+00
4.25E-01,8.50E-01,2.92E+00
4.50E-01,8.50E-01,4.14E+00
4.75E-01,8.50E-01,5.80E+00
5.00E-01,8.50E-01,7.36E+00
5.25E-01,8.50E-01,8.30E+00
5.50E-01,8.50E-01,8.31E+00
5.75E-01,8.50E-01,7.38E+00
6.00E-01,8.50E-01,5.82E+00
6.25E-01,8.50E-01,4.16E+00
6.50E-01,8.50E-01,2.93E+00
6.75E-01,8.50E-01,2.56E+00
7.00E-01,8.50E-01,3.16E+00
7.25E-01,8.50E-01,4.53E+00
7.50E-01,8.50E-01,6.22E+00
7.75E-01,8.50E-01,7.67E+00
8.00E-01,8.50E-01,8.40E+00
8.25E-01,8.50E-01,8.16E+00
8.50E-01,8.50E-01,7.03E+00
8.75E-01,8.50E-01,5.40E+00
9.00E-01,8.50E-01,3.79E+00
9.25E-01,8.50E-01,2.75E+00
9.50E-01,8.50E-01,2.62E+00
9.75E-01,8.50E-01,3.44E+00
1.00E+00,8.50E-01,4.94E+00
